Date,Open,High,Low,Close,Adj Close,Volume
7/22/2008,2.7059,2.7313,2.7009,2.7231,2.7231,-
7/23/2008,2.723,2.7259,2.6971,2.7042,2.7042,-
7/24/2008,2.704,2.7141,2.6976,2.7128,2.7128,-
7/27/2008,2.7067,2.7194,2.7022,2.7162,2.7162,-
7/28/2008,2.7162,2.722,2.7043,2.708,2.708,-
7/29/2008,2.7079,2.7129,2.7041,2.7079,2.7079,-
7/30/2008,2.7077,2.7192,2.7041,2.7114,2.7114,-
7/31/2008,2.7115,2.7158,2.7023,2.7095,2.7095,-
8/3/2008,2.7057,2.7067,2.6895,2.6904,2.6904,-
8/4/2008,2.6905,2.7026,2.6834,2.6954,2.6954,-
8/5/2008,2.6954,2.6978,2.6897,2.6904,2.6904,-
8/6/2008,2.6915,2.7076,2.6915,2.7051,2.7051,-
8/7/2008,2.7059,2.7131,2.6866,2.7009,2.7009,-
8/10/2008,2.6971,2.7046,2.6927,2.6997,2.6997,-
8/11/2008,2.6996,2.6998,2.6685,2.6697,2.6697,-
8/12/2008,2.6696,2.6711,2.6156,2.6221,2.6221,-
8/13/2008,2.6225,2.6433,2.6221,2.6359,2.6359,-
8/14/2008,2.6365,2.648,2.6237,2.6445,2.6445,-
8/17/2008,2.6399,2.6432,2.6294,2.6345,2.6345,-
8/18/2008,2.6345,2.6436,2.6277,2.6303,2.6303,-
8/19/2008,2.6305,2.6326,2.6213,2.6298,2.6298,-
8/20/2008,2.6301,2.6442,2.63,2.6325,2.6325,-
8/21/2008,2.6312,2.6383,2.61,2.615,2.615,-
8/24/2008,2.6108,2.6304,2.6031,2.6233,2.6233,-
8/25/2008,2.6206,2.6244,2.6111,2.62,2.62,-
8/26/2008,2.6199,2.6214,2.5953,2.6004,2.6004,-
8/27/2008,2.6004,2.6028,2.5862,2.592,2.592,-
8/28/2008,2.5921,2.596,2.5655,2.5732,2.5732,-
8/31/2008,2.5626,2.5739,2.5448,2.5509,2.5509,-
9/1/2008,2.5508,2.5611,2.5477,2.5504,2.5504,-
